"Country","latitude","longitude"
"Afghanistan",33.94,67.71
"Albania",41.15,20.17
"Algeria",28.03,1.66
"Angola",-11.2,17.87
"Antigua and Barbuda",17.06,-61.8
"Argentina",-38.42,-63.62
"Armenia",40.07,45.04
"Australia",-25.27,133.78
"Austria",47.52,14.55
"Azerbaijan",40.14,47.58
"Bahamas",25.03,-77.4
"Bangladesh",23.68,90.36
"Barbados",13.19,-59.54
"Belarus",53.71,27.95
"Belgium",50.5,4.47
"Belize",17.19,-88.5
"Benin",9.31,2.32
"Bermuda",32.32,-64.76
"Bolivia (Plurinational State of)",-16.29,-63.59
"Bosnia and Herzegovina",43.92,17.68
"Botswana",-22.33,24.68
"Brazil",-14.24,-51.93
"Brunei Darussalam",4.54,114.73
"Bulgaria",42.73,25.49
"Burkina Faso",12.24,-1.56
"Cabo Verde",16,-24.01
"Cambodia",12.57,104.99
"Cameroon",7.37,12.35
"Canada",56.13,-106.35
"Central African Republic",6.61,20.94
"Chad",15.45,18.73
"Chile",-35.68,-71.54
"China, Hong Kong SAR",22.4,114.11
"China, Macao SAR",22.2,113.54
"China, mainland",35.86,104.2
"China, Taiwan Province of",23.7,120.96
"Colombia",4.57,-74.3
"Congo",-0.23,15.83
"Costa Rica",9.75,-83.75
"Côte d'Ivoire",7.54,-5.55
"Croatia",45.1,15.2
"Cuba",21.52,-77.78
"Cyprus",35.13,33.43
"Czechia",49.82,15.47
"Democratic People's Republic of Korea",40.34,127.51
"Denmark",56.26,9.5
"Djibouti",11.83,42.59
"Dominica",15.41,-61.37
"Dominican Republic",18.74,-70.16
"Ecuador",-1.83,-78.18
"Egypt",26.82,30.8
"El Salvador",13.79,-88.9
"Estonia",58.6,25.01
"Ethiopia",9.15,40.49
"Fiji",-16.58,179.41
"Finland",61.92,25.75
"France",46.23,2.21
"French Polynesia",-17.68,-149.41
"Gabon",-0.8,11.61
"Gambia",13.44,-15.31
"Georgia",42.32,43.36
"Germany",51.17,10.45
"Ghana",7.95,-1.02
"Greece",39.07,21.82
"Grenada",12.26,-61.6
"Guatemala",15.78,-90.23
"Guinea",9.95,-9.7
"Guinea-Bissau",11.8,-15.18
"Guyana",4.86,-58.93
"Haiti",18.97,-72.29
"Honduras",15.2,-86.24
"Hungary",47.16,19.5
"Iceland",64.96,-19.02
"India",20.59,78.96
"Indonesia",-0.79,113.92
"Iran (Islamic Republic of)",32.43,53.69
"Iraq",33.22,43.68
"Ireland",53.41,-8.24
"Israel",31.05,34.85
"Italy",41.87,12.57
"Jamaica",18.11,-77.3
"Japan",36.2,138.25
"Jordan",30.59,36.24
"Kazakhstan",48.02,66.92
"Kenya",-0.02,37.91
"Kiribati",-3.37,-168.73
"Kuwait",29.31,47.48
"Kyrgyzstan",41.2,74.77
"Lao People's Democratic Republic",19.86,102.5
"Latvia",56.88,24.6
"Lebanon",33.85,35.86
"Lesotho",-29.61,28.23
"Liberia",6.43,-9.43
"Lithuania",55.17,23.88
"Luxembourg",49.82,6.13
"Madagascar",-18.77,46.87
"Malawi",-13.25,34.3
"Malaysia",4.21,101.98
"Maldives",3.2,73.22
"Mali",17.57,-4
"Malta",35.94,14.38
"Mauritania",21.01,-10.94
"Mauritius",-20.35,57.55
"Mexico",23.63,-102.55
"Mongolia",46.86,103.85
"Montenegro",42.71,19.37
"Morocco",31.79,-7.09
"Mozambique",-18.67,35.53
"Myanmar",21.91,95.96
"Namibia",-22.96,18.49
"Nepal",28.39,84.12
"Netherlands",52.13,5.29
"New Caledonia",-20.9,165.62
"New Zealand",-40.9,174.89
"Nicaragua",12.87,-85.21
"Niger",17.61,8.08
"Nigeria",9.08,8.68
"Norway",60.47,8.47
"Oman",21.51,55.92
"Pakistan",30.38,69.35
"Panama",8.54,-80.78
"Paraguay",-23.44,-58.44
"Peru",-9.19,-75.02
"Philippines",12.88,121.77
"Poland",51.92,19.15
"Portugal",39.4,-8.22
"Republic of Korea",35.91,127.77
"Republic of Moldova",47.41,28.37
"Romania",45.94,24.97
"Russian Federation",61.52,105.32
"Rwanda",-1.94,29.87
"Saint Kitts and Nevis",17.36,-62.78
"Saint Lucia",13.91,-60.98
"Saint Vincent and the Grenadines",12.98,-61.29
"Samoa",-13.76,-172.1
"Sao Tome and Principe",0.19,6.61
"Saudi Arabia",23.89,45.08
"Senegal",14.5,-14.45
"Serbia",44.02,21.01
"Sierra Leone",8.46,-11.78
"Slovakia",48.67,19.7
"Slovenia",46.15,15
"Solomon Islands",-9.65,160.16
"South Africa",-30.56,22.94
"Spain",40.46,-3.75
"Sri Lanka",7.87,80.77
"Sudan",12.86,30.22
"Suriname",3.92,-56.03
"Swaziland",-26.52,31.47
"Sweden",60.13,18.64
"Switzerland",46.82,8.23
"Tajikistan",38.86,71.28
"Thailand",15.87,100.99
"The former Yugoslav Republic of Macedonia",41.61,21.75
"Timor-Leste",-8.87,125.73
"Togo",8.62,0.82
"Trinidad and Tobago",10.69,-61.22
"Tunisia",33.89,9.54
"Turkey",38.96,35.24
"Turkmenistan",38.97,59.56
"Uganda",1.37,32.29
"Ukraine",48.38,31.17
"United Arab Emirates",23.42,53.85
"United Kingdom",55.38,-3.44
"United Republic of Tanzania",-6.37,34.89
"United States of America",37.09,-95.71
"Uruguay",-32.52,-55.77
"Uzbekistan",41.38,64.59
"Vanuatu",-15.38,166.96
"Venezuela (Bolivarian Republic of)",6.42,-66.59
"Viet Nam",14.06,108.28
"Yemen",15.55,48.52
"Zambia",-13.13,27.85
"Zimbabwe",-19.02,29.15
