"Country.Name","Country.Code","Indicator.Name","Indicator.Code","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X"
"Afghanistan","AFG","Net migration","SM.POP.NETM",NA,NA,-20000,NA,NA,NA,NA,-20000,NA,NA,NA,NA,-20000,NA,NA,NA,NA,-1092462,NA,NA,NA,NA,-3318301,NA,NA,NA,NA,-1484185,NA,NA,NA,NA,2327473,NA,NA,NA,NA,-379474,NA,NA,NA,NA,929118,NA,NA,NA,NA,-777497,NA,NA,NA,NA,448007,NA,NA,NA,NA,-299999,NA,NA
"Albania","ALB","Net migration","SM.POP.NETM",NA,NA,-99,NA,NA,NA,NA,-99,NA,NA,NA,NA,-99,NA,NA,NA,NA,-99,NA,NA,NA,NA,-99,NA,NA,NA,NA,-99,NA,NA,NA,NA,-443212,NA,NA,NA,NA,-179606,NA,NA,NA,NA,-176774,NA,NA,NA,NA,-217358,NA,NA,NA,NA,-93425,NA,NA,NA,NA,-40000,NA,NA
"Algeria","DZA","Net migration","SM.POP.NETM",NA,NA,-284266,NA,NA,NA,NA,-121335,NA,NA,NA,NA,-247822,NA,NA,NA,NA,-224833,NA,NA,NA,NA,-81020,NA,NA,NA,NA,-93302,NA,NA,NA,NA,-128679,NA,NA,NA,NA,-164413,NA,NA,NA,NA,-205228,NA,NA,NA,NA,-357340,NA,NA,NA,NA,-143268,NA,NA,NA,NA,-50002,NA,NA
"American Samoa","ASM","Net migration","SM.POP.NETM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra","AND","Net migration","SM.POP.NETM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola","AGO","Net migration","SM.POP.NETM",NA,NA,-135000,NA,NA,NA,NA,-226155,NA,NA,NA,NA,-80955,NA,NA,NA,NA,11455,NA,NA,NA,NA,234148,NA,NA,NA,NA,-151982,NA,NA,NA,NA,142811,NA,NA,NA,NA,-126955,NA,NA,NA,NA,172594,NA,NA,NA,NA,85286,NA,NA,NA,NA,87322,NA,NA,NA,NA,0,NA,NA
"Antigua and Barbuda","ATG","Net migration","SM.POP.NETM",NA,NA,-1703,NA,NA,NA,NA,-1625,NA,NA,NA,NA,-2874,NA,NA,NA,NA,-3492,NA,NA,NA,NA,-8840,NA,NA,NA,NA,-7629,NA,NA,NA,NA,2617,NA,NA,NA,NA,4421,NA,NA,NA,NA,-282,NA,NA,NA,NA,-92,NA,NA,NA,NA,-56,NA,NA,NA,NA,-56,NA,NA
"Arab World","ARB","Net migration","SM.POP.NETM",NA,NA,-502251,NA,NA,NA,NA,-841024,NA,NA,NA,NA,-870418,NA,NA,NA,NA,1830706,NA,NA,NA,NA,562853,NA,NA,NA,NA,-594845,NA,NA,NA,NA,-510510,NA,NA,NA,NA,-1852228,NA,NA,NA,NA,-25472,NA,NA,NA,NA,4152627,NA,NA,NA,NA,608774,NA,NA,NA,NA,-544526,NA,NA
"Argentina","ARG","Net migration","SM.POP.NETM",NA,NA,122001,NA,NA,NA,NA,130001,NA,NA,NA,NA,290000,NA,NA,NA,NA,-230001,NA,NA,NA,NA,139999,NA,NA,NA,NA,160002,NA,NA,NA,NA,29999,NA,NA,NA,NA,-80000,NA,NA,NA,NA,-90000,NA,NA,NA,NA,-84998,NA,NA,NA,NA,30000,NA,NA,NA,NA,24002,NA,NA
"Armenia","ARM","Net migration","SM.POP.NETM",NA,NA,70335,NA,NA,NA,NA,103399,NA,NA,NA,NA,86404,NA,NA,NA,NA,17214,NA,NA,NA,NA,-51230,NA,NA,NA,NA,-67528,NA,NA,NA,NA,-496288,NA,NA,NA,NA,-223873,NA,NA,NA,NA,-160521,NA,NA,NA,NA,-183361,NA,NA,NA,NA,-30535,NA,NA,NA,NA,-24989,NA,NA
